city,veg_count,steak_count,pop,steak_capita,veg_capita,steak_rating_mean,veg_rating_mean,steak_$mean,veg_$mean
portland,102,30,1907395.0,1.5728257649831316e-05,5.347607600942647e-05,2.5517241379310343,1.5057471264367812,2.5517241379310343,1.5057471264367812
los angeles,137,68,10055380.0,6.762549003617964e-06,1.3624547257289133e-05,2.758064516129032,1.6782608695652175,2.758064516129032,1.6782608695652175
new york,238,243,13409590.0,1.8121359415164817e-05,1.7748491937486532e-05,2.8533333333333335,1.905940594059406,2.8533333333333335,1.905940594059406
boston,36,47,3342667.0,1.4060628833204146e-05,1.0769843361603175e-05,2.6136363636363633,1.75,2.6136363636363633,1.75
chicago,56,97,6377851.0,1.5208884622735777e-05,8.780386998692819e-06,2.802197802197802,1.607843137254902,2.802197802197802,1.607843137254902
austin,53,31,1142575.0,2.7131698137977812e-05,4.638645165525239e-05,2.7,1.5348837209302326,2.7,1.5348837209302326
miami,32,73,3140501.0,2.3244698855373714e-05,1.0189457032492586e-05,2.303030303030303,1.72,2.303030303030303,1.72
tulsa,5,33,757571.0,4.356027355851795e-05,6.600041448260295e-06,2.3666666666666667,1.3333333333333333,2.3666666666666667,1.3333333333333333
minneapolis,16,27,2648228.0,1.0195496762363361e-05,6.041775859178289e-06,2.68,1.7272727272727273,2.68,1.7272727272727273
san diego,46,51,2684215.0,1.899996833338611e-05,1.7137226339916883e-05,2.6382978723404253,1.7073170731707317,2.6382978723404253,1.7073170731707317
san francisco,33,39,5027241.0,7.757734311921787e-06,6.564236725472282e-06,2.756756756756757,1.8666666666666667,2.756756756756757,1.8666666666666667
